TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLAYOFF_RANKING,SEASON,UNIQUE_ID
1610612744,Golden State Warriors,82,19,63,0.232,51.5,36.9,89.3,0.413,2.5,9.0,0.272,17.6,24.8,0.71,16.7,32.1,48.8,22.2,17.8,8.1,5.8,6.2,24.1,0.1,93.9,-9.7,10,Golden State Warriors,38.8,87.5,0.444,4.3,12.5,0.347,21.6,29.7,0.729,14.7,32.9,47.6,26.1,15.0,9.8,6.2,5.8,21.3,24.1,103.6,0,1997-98,1610612744199798
1610612765,Detroit Pistons,82,37,45,0.451,53.4,38.3,85.3,0.449,3.9,12.6,0.312,22.8,30.6,0.745,14.0,31.3,45.3,21.4,16.0,9.1,4.6,5.1,24.2,0.2,103.4,1.7,10,Detroit Pistons,38.0,85.4,0.445,4.9,14.7,0.33,20.7,27.8,0.746,13.3,31.3,44.5,23.5,16.9,8.7,5.1,4.6,25.1,24.2,101.7,0,1997-98,1610612765199798
1610612743,Denver Nuggets,82,11,71,0.134,52.6,35.7,85.5,0.418,3.8,11.9,0.323,22.1,28.6,0.772,13.9,28.8,42.6,20.6,17.5,8.9,5.2,7.1,25.8,0.2,97.4,-12.9,10,Denver Nuggets,40.2,85.0,0.473,5.6,14.7,0.379,24.2,32.2,0.754,14.6,32.0,46.6,26.5,16.6,8.8,7.1,5.2,23.8,25.8,110.3,0,1997-98,1610612743199798
1610612742,Dallas Mavericks,82,20,62,0.244,52.6,38.0,89.1,0.427,5.6,15.6,0.357,17.3,22.9,0.753,13.3,30.1,43.4,20.3,15.6,8.5,6.2,4.9,21.7,0.2,98.9,-6.6,10,Dallas Mavericks,41.4,90.0,0.46,5.1,14.9,0.342,17.6,24.7,0.714,16.1,34.9,51.0,24.8,16.4,8.7,4.9,6.2,21.2,21.7,105.5,0,1997-98,1610612742199798
1610612759,San Antonio Spurs,50,37,13,0.74,53.5,38.5,84.4,0.456,3.8,11.5,0.33,21.9,31.3,0.698,13.6,35.1,48.7,24.4,16.8,9.3,7.8,5.4,22.4,0.1,102.7,8.9,10,San Antonio Spurs,36.1,89.9,0.402,3.8,12.4,0.304,17.8,25.4,0.701,15.4,31.1,46.6,20.8,16.2,9.7,5.4,7.8,25.4,22.4,93.8,5,1998-99,1610612759199899
1610612752,New York Knicks,50,27,23,0.54,54.4,36.2,83.3,0.435,4.7,13.2,0.353,20.1,27.4,0.732,12.4,34.0,46.4,21.7,18.1,8.9,5.9,4.8,25.6,0.2,97.2,1.1,10,New York Knicks,34.4,85.2,0.403,5.3,14.9,0.353,22.0,30.0,0.733,13.9,32.1,45.9,20.8,17.2,9.6,4.8,5.9,23.3,25.6,96.0,4,1998-99,1610612752199899
1610612757,Portland Trail Blazers,50,35,15,0.7,52.8,37.9,85.8,0.442,5.3,14.6,0.364,21.7,29.2,0.743,14.0,34.0,48.0,23.3,16.7,8.9,6.3,5.3,24.4,0.2,102.8,6.9,10,Portland Trail Blazers,35.6,85.4,0.417,4.8,15.0,0.318,19.9,27.4,0.725,13.4,30.1,43.4,20.9,17.0,8.9,5.3,6.3,24.8,24.4,95.9,3,1998-99,1610612757199899
1610612737,Atlanta Hawks,50,31,19,0.62,55.0,35.1,85.7,0.409,4.5,14.7,0.306,23.7,32.4,0.731,15.4,34.2,49.6,17.8,17.0,7.9,5.9,5.5,22.5,0.2,98.4,3.3,10,Atlanta Hawks,36.4,88.3,0.413,4.3,14.4,0.3,17.9,24.5,0.729,13.2,31.2,44.4,20.4,15.4,8.6,5.5,5.9,27.4,22.5,95.1,2,1998-99,1610612737199899
1610612762,Utah Jazz,50,37,13,0.74,54.4,37.6,80.8,0.465,3.1,8.7,0.361,25.8,33.7,0.767,12.4,33.7,46.0,26.9,18.2,8.9,6.2,5.9,25.3,0.2,104.2,7.3,10,Utah Jazz,35.6,86.2,0.413,4.8,14.9,0.321,20.9,29.0,0.721,14.2,28.9,43.1,20.2,16.6,9.6,5.9,6.2,29.2,25.3,96.9,2,1998-99,1610612762199899
1610612755,Philadelphia 76ers,50,28,22,0.56,53.0,36.1,84.7,0.426,2.1,8.1,0.264,23.4,32.4,0.722,15.9,31.2,47.1,20.4,17.9,11.8,5.9,5.7,25.1,0.1,97.8,2.2,10,Philadelphia 76ers,34.9,82.6,0.423,5.3,15.6,0.337,20.5,28.1,0.731,13.5,30.6,44.1,21.8,19.6,9.5,5.7,5.9,25.9,25.1,95.6,2,1998-99,1610612755199899
